"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/20 12:07:21 PM GMT+1","Rock;Indie","I mostly  listen to CDs","Star Wars series;Harry Potter series","Only Fools and Horses;Downtown Abbey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;LinkedIn","Between 10 and 20 hours","I mostly use cards","51"
"2019/06/20 12:16:06 PM GMT+1","Hip-hop/Rap","I mostly use YouTube or other websites","Star Wars series","Friends;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","16"
"2019/06/20 12:31:11 PM GMT+1","Classical;Rock;Country;Pop","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","38"
"2019/06/20 12:49:05 PM GMT+1","Hip-hop/Rap","I mostly use YouTube or other websites","Star Wars series","Game of Thrones","I mostly watch live TV (eg news or sports)","WhatsApp","More than 30 hours","I mostly use cards","25"
"2019/06/20 1:03:30 PM GMT+1","Country;Pop;Indie;Hip-hop/Rap","I mostly listen to the radio","Star Wars series;Harry Potter series;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Gavin and Stacey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Instagram","More than 30 hours","I mostly use cards","33"
"2019/06/20 1:40:22 PM GMT+1","Rock;Country;Pop;Indie;Electronic","I mostly use YouTube or other websites","Apocalypse Now","Gavin and Stacey;Game of Thrones;The Inbetweeners","I don't really watch TV programs","WhatsApp","Between 5 and 10 hours","I mostly use cards","24"
"2019/06/20 3:13:43 PM GMT+1","Classical","I mostly  listen to CDs","It's a Wonderful Life;Love Actually;Back to the Future","Doctor Who;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","I don't use any social media app","I don't own a smart phone","I mostly use cash","78"
"2019/06/20 4:47:22 PM GMT+1","Pop","I mostly use YouTube or other websites","It's a Wonderful Life;Star Wars series;Harry Potter series;Toy Story series;Back to the Future","Friends;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat","Between 10 and 20 hours","I mostly use cash","13"
"2019/06/20 4:56:07 PM GMT+1","Rock;Pop","I mostly listen to the radio","Harry Potter series;Love Actually;Toy Story series","Friends;Only Fools and Horses;Gavin and Stacey;Game of Thrones;The Thick of It","I mostly watch live TV (eg news or sports)","Facebook;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","55"
"2019/06/20 9:19:46 PM GMT+1","Classical;Pop","I mostly use Spotify or another music streaming service","Star Wars series;Love Actually;Toy Story series","Friends;Game of Thrones;The Inbetweeners","I don't really watch TV programs","Facebook;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","18"
"2019/06/20 9:19:47 PM GMT+1","Hip-hop/Rap","I mostly use YouTube or other websites","2001 Space Odyssey","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","Between 10 and 20 hours","I mostly use cash","17"
"2019/06/20 9:19:50 PM GMT+1","Classical;Rock;Country;Electronic","I mostly listen to the radio","It's a Wonderful Life;Back to the Future","None of the above tv shows","I mostly watch live TV (eg news or sports)","Facebook","I don't own a smart phone","I mostly use cards","71"
"2019/06/20 9:20:06 PM GMT+1","Classical;Rock;Pop","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Toy Story series","Friends;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;LinkedIn","More than 30 hours","I mostly use cards","33"
